"Acetamide, 2-(benzoyloxy)-N,N-bis(2-hydroxyethyl)-",C13H17NO5,2.69E+00,267.28
"Acetamide, 2-(benzoyloxy)-N-[2-hydroxy-1,1-bis(hydroxymethyl)ethyl]-",C13H17NO6,5.40E-02,283.28
Aminopyrine,C13H17N3O,1.77E+00,231.3
9-(2-O-Propionyl-ß-d-arabinofuranosyl)adenine,C13H17N5O5,3.62E-04,323.31
9-[5'-(O-Propionyl)-ß-d-arabinofuranosyl]adenine ester,C13H17N5O5,2.85E-02,323.31
"9-(1,3-Diacetate-2-propoxymethyl)guanine",C13H17N5O6,1.71E-03,339.31
"9-(1,3-Dimethoxycarbonyl-2-propoxymethyl)guanine",C13H17N5O8,3.85E-04,371.31
Monalide,C13H18ClNO,9.51E-05,239.75
Pentanochlor,C13H18ClNO,3.34E-05,239.75
Cyclopenthiazide,C13H18ClN3O4S2,1.32E-04,379.89
Melphalan,C13H18Cl2N2O2,1.44E-02,305.21
Lenacil,C13H18N2O2,2.56E-05,234.3
Heptabarbital,C13H18N2O3,1.00E-03,250.3
Tosylcyclopentylurea,C13H18N2O3S,2.65E-04,282.36
Methyl-2-methyl-2-cyclohexenyl-6-methylmalonurate,C13H18N2O4,2.10E-03,266.3
"4-Amino-N-(5-pentyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide",C13H18N4O2S2,1.12E-04,326.44
"4-Amino-N-(5-isopentyl-1,3,4-thiadiazol-2-yl)benzenesulfonamide",C13H18N4O2S2,9.00E-05,326.44
Ibuprofen,C13H18O2,2.38E-04,206.29
S-Ibuprofen (S)-(+)-2-(4-I,C13H18O2,1.79E-03,206.29
r-Ibuprofen,C13H18O2,1.79E-03,206.29
Hexyl p-hydroxybenzoate,C13H18O3,3.16E-04,222.29
n-Hexyl salicylate,C13H18O3,1.26E-03,222.29
Ethofumesate,C13H18O5S,3.84E-04,286.35
Salicin,C13H18O7,1.40E-01,286.28
Hexyl p-aminobenzoate,C13H19NO2,1.04E-04,221.3
Ibuproxam,C13H19NO2,9.04E-04,221.3
"N,N-Diethyl-6-hydroxynorbornane-2-carboxamide-3,5-lactone",C13H19NO4,1.15E-01,253.3
Probenecid,C13H19NO4S,1.26E-05,285.36
"N-(1-Ethylpropyl)-2,6-dinitro-3,4-xylidine",C13H19N3O4,1.07E-06,281.31
Nitralin,C13H19N3O6S,1.74E-06,345.38
Prilocaine,C13H20N2O,2.80E-02,220.32
Procaine,C13H20N2O2,4.00E-02,236.32
"N,N'-Diethyl-bicyclo(2.2.1)hept-5-ene-2,3-trans-dicarboxamide",C13H20N2O2,3.22E-02,236.32
4-Aminobenzoic acid-2-(butyl-amino)ethyl ester,C13H20N2O2,1.70E-04,236.32
5-Allyl-5-ethylbutylbarbituric acid,C13H20N2O3,1.59E-02,252.32
"2,4,6(1H,3H,5H)-Pyrimidinetrione, 5-(1,1-dimethylethyl)-5-(3-methyl-2-butenyl)",C13H20N2O3,2.81E-04,252.32
2-Hexyl-6-methylpheno,C13H20O,2.60E-05,192.3
2-Hexyl-4-methylphenol,C13H20O,3.47E-05,192.3
b-Damascone,C13H20O,1.00E-03,192.3
ß-Damascone,C13H20O,1.00E-03,192.3
o-n-Heptylphenol,C13H20O,6.12E-05,192.3
4-Hexyl-2-methylphenol,C13H20O,2.60E-05,192.3
?-Ionone,C13H20O,5.51E-04,192.3
p-n-Heptylphenol,C13H20O,5.78E-05,192.3
Salbutamol,C13H21NO3,7.50E-02,239.32
"S-Benzyl O,O-di-isopropyl phosphorothioate",C13H21O3PS,3.47E-03,288.35
4-(Methylthio)phenyl dipropyl phosphate,C13H21O4PS,4.11E-04,304.35
Fenamiphos,C13H22NO3PS,1.08E-03,303.36
Isonoruron,C13H22N2O,9.90E-04,222.33
Noruron,C13H22N2O,6.75E-04,222.33
5-Ethyl-5-n-heptylbarbituric acid,C13H22N2O3,6.05E-04,254.33
Methyl dihydrojasmonate,C13H22O3,1.77E-03,226.32
Pirimiphos-ethyl,C13H24N3O3PS,1.19E-05,333.39
Bupirimate,C13H24N4O3S,6.95E-05,316.43
"1-(Hexamethyleneiminel)-3,5-bis(dimethylamino)-s-triazine",C13H24N6,2.27E-05,264.38
Octyl a-acetoxypropionate,C13H24O4,4.09E-04,244.33
"1,11-Undecanedicarboxylic acid",C13H24O4,1.64E-04,244.33
Dibutylaceturethane,C13H25NO3,3.29E-04,243.35
"N,N,N',N'-Tetramethylazelamide",C13H26N2O2,3.90E+00,242.36
n-Tridecanoic acid,C13H26O2,1.54E-04,214.35
Methyl laurate,C13H26O2,2.05E-05,214.35
n-Octyl ß-ethoxypropionate,C13H26O3,4.34E-04,230.35
Decyl lactate,C13H26O3,8.68E-04,230.35
"1,3-Dioxolane-4-methanol, 2-[2-(hexyloxy)ethyl]-2-methyl",C13H26O4,1.60E-02,246.35
Tridecane,C13H28,2.17E-09,184.37
Dithianon,C14H4N2O2S2,1.69E-06,296.33
Teflubenzuron,C14H6Cl2F4N2O2,2.47E-08,381.12
"1,4,5,8-Naphthalenediimide",C14H6N2O4,1.12E-03,266.21
Ellagic acid,C14H6O8,3.21E-05,302.2
"1,5-Chloroanthraquinone sulfonic acid",C14H7ClO5S,1.03E+00,322.73
"1,7-Chloroanthraquinone sulfonic acid",C14H7ClO5S,6.20E-01,322.73
"1,6-Chloroanthraquinone sulfonic acid",C14H7ClO5S,6.20E-01,322.73
